,5 digit NTD ID,agency_name,month_year,trips_num,VOMS,VRM,VRH,date_col,NTD ID,Agency,Mode VOMS_new,VOM_CAT
0,40026,Manatee County Board of County Commissioners,JAN02,65367.0,25.0,62388.0,3888.0,2002-01-01,40026,"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",23,10-49 peak vehicles
1,40027,Pinellas Suncoast Transit Authority,JAN02,768668.0,139.0,654526.0,44505.0,2002-01-01,40027,Pinellas Suncoast Transit Authority,197,50-200 peak vehicles
2,40028,Lee County Transit,JAN02,210459.0,43.0,235308.0,16228.0,2002-01-01,40028,"Lee County Transit, dba: Lee County Transit",50,50-200 peak vehicles
3,40029,Broward County Board of County Commissioners,JAN02,2877385.0,251.0,1243103.0,91106.0,2002-01-01,40029,"Broward County Board of County Commissioners, dba: Broward County Transit Division",317,greater than 200 peak vehicles
4,40030,"City of Gainesville, FL",JAN02,0.0,72.0,0.0,0.0,2002-01-01,40030,"City of Gainesville, FL, dba: Regional Transit System",112,50-200 peak vehicles
5,40031,Lakeland Area Mass Transit District,JAN02,0.0,25.0,0.0,0.0,2002-01-01,40031,"Lakeland Area Mass Transit District, dba: Citrus Connection",39,10-49 peak vehicles
6,40032,County of Volusia,JAN02,214099.0,48.0,205882.0,13938.0,2002-01-01,40032,"County of Volusia, dba: VOTRAN",66,50-200 peak vehicles
7,40034,County of Miami-Dade ,JAN02,5426045.0,547.0,2127802.0,168270.0,2002-01-01,40034,"County of Miami-Dade, dba: Transportation & Public Work",749,greater than 200 peak vehicles
8,40035,Central Florida Regional Transportation Authority,JAN02,1671212.0,198.0,1060397.0,76342.0,2002-01-01,40035,Central Florida Regional Transportation Authority,267,greater than 200 peak vehicles
9,40036,City of Tallahassee,JAN02,394210.0,48.0,145733.0,12411.0,2002-01-01,40036,"City of Tallahassee, dba: StarMetro",57,50-200 peak vehicles
10,40037,"Board of County Commissioners, Palm Beach County",JAN02,548291.0,114.0,547388.0,33756.0,2002-01-01,40037,"Board of County Commissioners, Palm Beach County, dba: Palm Tran",119,50-200 peak vehicles
11,40038,"Escambia County Board of County Commissioners, FL",JAN02,116870.0,34.0,118842.0,7453.0,2002-01-01,40038,"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",36,10-49 peak vehicles
12,40040,Jacksonville Transportation Authority,JAN02,670368.0,140.0,842905.0,52342.0,2002-01-01,40040,Jacksonville Transportation Authority,171,50-200 peak vehicles
13,40041,Hillsborough Area Regional Transit Authority,JAN02,704970.0,171.0,590658.0,46968.0,2002-01-01,40041,Hillsborough Area Regional Transit Authority,133,50-200 peak vehicles
14,40046,Sarasota County ,JAN02,135553.0,29.0,134467.0,9090.0,2002-01-01,40046,"Sarasota County, dba: Sarasota County Area Transit",51,50-200 peak vehicles
15,40063,Brevard Board of County Commissioners,JAN02,29809.0,17.0,71946.0,3882.0,2002-01-01,40063,"Brevard Board of County Commissioners, dba: Space Coast Area Transit",39,10-49 peak vehicles
16,40074,Pasco County Board of County Commissioners,JAN02,29629.0,14.0,55206.0,3072.0,2002-01-01,40074,"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",23,10-49 peak vehicles
17,40077,South Florida Regional Transportation Authority,JAN02,0.0,0.0,0.0,0.0,2002-01-01,40077,"South Florida Regional Transportation Authority, dba: TRI-Rail",22,10-49 peak vehicles
18,40097,"Council on Aging of St. Lucie, Inc.",JAN02,0.0,0.0,0.0,0.0,2002-01-01,40097,"Council on Aging of St. Lucie, Inc., dba: Community Transit",13,10-49 peak vehicles
19,40104,Indian River County,JAN02,13000.0,8.0,19000.0,17000.0,2002-01-01,40104,Indian River County,15,10-49 peak vehicles
20,40120,"City of Ocala, Florida",JAN02,178460.0,5.0,26796.0,1636.0,2002-01-01,40120,"City of Ocala, Florida, dba: SunTran",7,1-9 peak vehicles
21,40128,Okaloosa County Board of County Commissioners,JAN02,1976.0,3.0,11579.0,748.0,2002-01-01,40128,"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",10,10-49 peak vehicles
22,40140,Collier County,JAN02,0.0,0.0,0.0,0.0,2002-01-01,40140,"Collier County, dba: Collier Area Transit",22,10-49 peak vehicles
23,40146,Hernando County Board of County Commissioners,JAN02,0.0,0.0,0.0,0.0,2002-01-01,40146,"Hernando County Board of County Commissioners, dba: The Bus",7,1-9 peak vehicles
24,40155,"St Johns County, Florida",JAN02,0.0,0.0,0.0,0.0,2002-01-01,40155,"St Johns County, Florida, dba: Sunshine Bus Co.",9,1-9 peak vehicles
25,40158,Lake County Board of County Commissioners,JAN02,0.0,0.0,0.0,0.0,2002-01-01,40158,"Lake County Board of County Commissioners, dba: LakeXpress",10,10-49 peak vehicles
26,40185,Bay County Transportation Planning Organization,JAN02,0.0,0.0,0.0,0.0,2002-01-01,40185,Bay County Transportation Planning Organization,17,10-49 peak vehicles
27,40192,Martin County,JAN02,0.0,0.0,0.0,0.0,2002-01-01,40192,Martin County,12,10-49 peak vehicles
28,40026,Manatee County Board of County Commissioners,FEB02,60444.0,25.0,57474.0,3456.0,2002-02-01,40026,"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",23,10-49 peak vehicles
29,40027,Pinellas Suncoast Transit Authority,FEB02,725526.0,139.0,596843.0,40586.0,2002-02-01,40027,Pinellas Suncoast Transit Authority,197,50-200 peak vehicles
30,40028,Lee County Transit,FEB02,219079.0,43.0,217562.0,15004.0,2002-02-01,40028,"Lee County Transit, dba: Lee County Transit",50,50-200 peak vehicles
31,40029,Broward County Board of County Commissioners,FEB02,2702038.0,251.0,1137912.0,83376.0,2002-02-01,40029,"Broward County Board of County Commissioners, dba: Broward County Transit Division",317,greater than 200 peak vehicles
32,40030,"City of Gainesville, FL",FEB02,0.0,72.0,0.0,0.0,2002-02-01,40030,"City of Gainesville, FL, dba: Regional Transit System",112,50-200 peak vehicles
33,40031,Lakeland Area Mass Transit District,FEB02,0.0,25.0,0.0,0.0,2002-02-01,40031,"Lakeland Area Mass Transit District, dba: Citrus Connection",39,10-49 peak vehicles
34,40032,County of Volusia,FEB02,206349.0,48.0,194908.0,13166.0,2002-02-01,40032,"County of Volusia, dba: VOTRAN",66,50-200 peak vehicles
35,40034,County of Miami-Dade ,FEB02,5127168.0,547.0,1696402.0,135686.0,2002-02-01,40034,"County of Miami-Dade, dba: Transportation & Public Work",749,greater than 200 peak vehicles
36,40035,Central Florida Regional Transportation Authority,FEB02,1623241.0,198.0,981653.0,70852.0,2002-02-01,40035,Central Florida Regional Transportation Authority,267,greater than 200 peak vehicles
37,40036,City of Tallahassee,FEB02,391522.0,48.0,136488.0,11375.0,2002-02-01,40036,"City of Tallahassee, dba: StarMetro",57,50-200 peak vehicles
38,40037,"Board of County Commissioners, Palm Beach County",FEB02,514988.0,114.0,506046.0,31367.0,2002-02-01,40037,"Board of County Commissioners, Palm Beach County, dba: Palm Tran",119,50-200 peak vehicles
39,40038,"Escambia County Board of County Commissioners, FL",FEB02,116292.0,34.0,114042.0,7453.0,2002-02-01,40038,"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",36,10-49 peak vehicles
40,40040,Jacksonville Transportation Authority,FEB02,639382.0,140.0,842905.0,52342.0,2002-02-01,40040,Jacksonville Transportation Authority,171,50-200 peak vehicles
41,40041,Hillsborough Area Regional Transit Authority,FEB02,673591.0,171.0,538188.0,42754.0,2002-02-01,40041,Hillsborough Area Regional Transit Authority,133,50-200 peak vehicles
42,40046,Sarasota County ,FEB02,131786.0,29.0,133394.0,8382.0,2002-02-01,40046,"Sarasota County, dba: Sarasota County Area Transit",51,50-200 peak vehicles
43,40063,Brevard Board of County Commissioners,FEB02,0.0,17.0,0.0,0.0,2002-02-01,40063,"Brevard Board of County Commissioners, dba: Space Coast Area Transit",39,10-49 peak vehicles
44,40074,Pasco County Board of County Commissioners,FEB02,29371.0,14.0,50235.0,2790.0,2002-02-01,40074,"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",23,10-49 peak vehicles
45,40077,South Florida Regional Transportation Authority,FEB02,0.0,0.0,0.0,0.0,2002-02-01,40077,"South Florida Regional Transportation Authority, dba: TRI-Rail",22,10-49 peak vehicles
46,40097,"Council on Aging of St. Lucie, Inc.",FEB02,0.0,0.0,0.0,0.0,2002-02-01,40097,"Council on Aging of St. Lucie, Inc., dba: Community Transit",13,10-49 peak vehicles
47,40104,Indian River County,FEB02,13000.0,8.0,18050.0,16000.0,2002-02-01,40104,Indian River County,15,10-49 peak vehicles
48,40120,"City of Ocala, Florida",FEB02,16315.0,5.0,24731.0,1510.0,2002-02-01,40120,"City of Ocala, Florida, dba: SunTran",7,1-9 peak vehicles
49,40128,Okaloosa County Board of County Commissioners,FEB02,1787.0,3.0,10615.0,680.0,2002-02-01,40128,"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",10,10-49 peak vehicles
50,40140,Collier County,FEB02,0.0,0.0,0.0,0.0,2002-02-01,40140,"Collier County, dba: Collier Area Transit",22,10-49 peak vehicles
51,40146,Hernando County Board of County Commissioners,FEB02,0.0,0.0,0.0,0.0,2002-02-01,40146,"Hernando County Board of County Commissioners, dba: The Bus",7,1-9 peak vehicles
52,40155,"St Johns County, Florida",FEB02,0.0,0.0,0.0,0.0,2002-02-01,40155,"St Johns County, Florida, dba: Sunshine Bus Co.",9,1-9 peak vehicles
53,40158,Lake County Board of County Commissioners,FEB02,0.0,0.0,0.0,0.0,2002-02-01,40158,"Lake County Board of County Commissioners, dba: LakeXpress",10,10-49 peak vehicles
54,40185,Bay County Transportation Planning Organization,FEB02,0.0,0.0,0.0,0.0,2002-02-01,40185,Bay County Transportation Planning Organization,17,10-49 peak vehicles
55,40192,Martin County,FEB02,0.0,0.0,0.0,0.0,2002-02-01,40192,Martin County,12,10-49 peak vehicles
56,40026,Manatee County Board of County Commissioners,MAR02,80988.0,25.0,60917.0,3600.0,2002-03-01,40026,"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",23,10-49 peak vehicles
57,40027,Pinellas Suncoast Transit Authority,MAR02,792770.0,139.0,649674.0,44209.0,2002-03-01,40027,Pinellas Suncoast Transit Authority,197,50-200 peak vehicles
58,40028,Lee County Transit,MAR02,244432.0,43.0,236589.0,16317.0,2002-03-01,40028,"Lee County Transit, dba: Lee County Transit",50,50-200 peak vehicles
59,40029,Broward County Board of County Commissioners,MAR02,2868082.0,251.0,1226914.0,89884.0,2002-03-01,40029,"Broward County Board of County Commissioners, dba: Broward County Transit Division",317,greater than 200 peak vehicles
60,40030,"City of Gainesville, FL",MAR02,0.0,72.0,0.0,0.0,2002-03-01,40030,"City of Gainesville, FL, dba: Regional Transit System",112,50-200 peak vehicles
61,40031,Lakeland Area Mass Transit District,MAR02,0.0,25.0,0.0,0.0,2002-03-01,40031,"Lakeland Area Mass Transit District, dba: Citrus Connection",39,10-49 peak vehicles
62,40032,County of Volusia,MAR02,232031.0,48.0,212615.0,14113.0,2002-03-01,40032,"County of Volusia, dba: VOTRAN",66,50-200 peak vehicles
63,40034,County of Miami-Dade ,MAR02,5493394.0,547.0,1924684.0,151921.0,2002-03-01,40034,"County of Miami-Dade, dba: Transportation & Public Work",749,greater than 200 peak vehicles
64,40035,Central Florida Regional Transportation Authority,MAR02,1723256.0,198.0,1052284.0,75462.0,2002-03-01,40035,Central Florida Regional Transportation Authority,267,greater than 200 peak vehicles
65,40036,City of Tallahassee,MAR02,352007.0,48.0,134186.0,11942.0,2002-03-01,40036,"City of Tallahassee, dba: StarMetro",57,50-200 peak vehicles
66,40037,"Board of County Commissioners, Palm Beach County",MAR02,539291.0,114.0,542128.0,33617.0,2002-03-01,40037,"Board of County Commissioners, Palm Beach County, dba: Palm Tran",119,50-200 peak vehicles
67,40038,"Escambia County Board of County Commissioners, FL",MAR02,107010.0,34.0,121872.0,7995.0,2002-03-01,40038,"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",36,10-49 peak vehicles
68,40040,Jacksonville Transportation Authority,MAR02,664573.0,140.0,842905.0,52342.0,2002-03-01,40040,Jacksonville Transportation Authority,171,50-200 peak vehicles
69,40041,Hillsborough Area Regional Transit Authority,MAR02,706968.0,171.0,579601.0,45985.0,2002-03-01,40041,Hillsborough Area Regional Transit Authority,133,50-200 peak vehicles
70,40046,Sarasota County ,MAR02,141131.0,29.0,134482.0,9063.0,2002-03-01,40046,"Sarasota County, dba: Sarasota County Area Transit",51,50-200 peak vehicles
71,40063,Brevard Board of County Commissioners,MAR02,0.0,17.0,0.0,0.0,2002-03-01,40063,"Brevard Board of County Commissioners, dba: Space Coast Area Transit",39,10-49 peak vehicles
72,40074,Pasco County Board of County Commissioners,MAR02,31486.0,14.0,52633.0,2936.0,2002-03-01,40074,"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",23,10-49 peak vehicles
73,40077,South Florida Regional Transportation Authority,MAR02,0.0,0.0,0.0,0.0,2002-03-01,40077,"South Florida Regional Transportation Authority, dba: TRI-Rail",22,10-49 peak vehicles
74,40097,"Council on Aging of St. Lucie, Inc.",MAR02,0.0,0.0,0.0,0.0,2002-03-01,40097,"Council on Aging of St. Lucie, Inc., dba: Community Transit",13,10-49 peak vehicles
75,40104,Indian River County,MAR02,13500.0,8.0,19900.0,17500.0,2002-03-01,40104,Indian River County,15,10-49 peak vehicles
76,40120,"City of Ocala, Florida",MAR02,18841.0,5.0,26797.0,1636.0,2002-03-01,40120,"City of Ocala, Florida, dba: SunTran",7,1-9 peak vehicles
77,40128,Okaloosa County Board of County Commissioners,MAR02,1969.0,3.0,11185.0,714.0,2002-03-01,40128,"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",10,10-49 peak vehicles
78,40140,Collier County,MAR02,0.0,0.0,0.0,0.0,2002-03-01,40140,"Collier County, dba: Collier Area Transit",22,10-49 peak vehicles
79,40146,Hernando County Board of County Commissioners,MAR02,0.0,0.0,0.0,0.0,2002-03-01,40146,"Hernando County Board of County Commissioners, dba: The Bus",7,1-9 peak vehicles
80,40155,"St Johns County, Florida",MAR02,0.0,0.0,0.0,0.0,2002-03-01,40155,"St Johns County, Florida, dba: Sunshine Bus Co.",9,1-9 peak vehicles
81,40158,Lake County Board of County Commissioners,MAR02,0.0,0.0,0.0,0.0,2002-03-01,40158,"Lake County Board of County Commissioners, dba: LakeXpress",10,10-49 peak vehicles
82,40185,Bay County Transportation Planning Organization,MAR02,0.0,0.0,0.0,0.0,2002-03-01,40185,Bay County Transportation Planning Organization,17,10-49 peak vehicles
83,40192,Martin County,MAR02,0.0,0.0,0.0,0.0,2002-03-01,40192,Martin County,12,10-49 peak vehicles
84,40026,Manatee County Board of County Commissioners,APR02,99205.0,23.0,76480.0,5760.0,2002-04-01,40026,"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",23,10-49 peak vehicles
85,40027,Pinellas Suncoast Transit Authority,APR02,776990.0,137.0,638562.0,43478.0,2002-04-01,40027,Pinellas Suncoast Transit Authority,197,50-200 peak vehicles
86,40028,Lee County Transit,APR02,196602.0,43.0,224336.0,15471.0,2002-04-01,40028,"Lee County Transit, dba: Lee County Transit",50,50-200 peak vehicles
87,40029,Broward County Board of County Commissioners,APR02,2879056.0,262.0,1258627.0,92389.0,2002-04-01,40029,"Broward County Board of County Commissioners, dba: Broward County Transit Division",317,greater than 200 peak vehicles
88,40030,"City of Gainesville, FL",APR02,0.0,72.0,0.0,0.0,2002-04-01,40030,"City of Gainesville, FL, dba: Regional Transit System",112,50-200 peak vehicles
89,40031,Lakeland Area Mass Transit District,APR02,0.0,25.0,0.0,0.0,2002-04-01,40031,"Lakeland Area Mass Transit District, dba: Citrus Connection",39,10-49 peak vehicles
90,40032,County of Volusia,APR02,216753.0,48.0,212107.0,13894.0,2002-04-01,40032,"County of Volusia, dba: VOTRAN",66,50-200 peak vehicles
91,40034,County of Miami-Dade ,APR02,5392583.0,547.0,2143585.0,164714.0,2002-04-01,40034,"County of Miami-Dade, dba: Transportation & Public Work",749,greater than 200 peak vehicles
92,40035,Central Florida Regional Transportation Authority,APR02,1772987.0,197.0,1042109.0,74905.0,2002-04-01,40035,Central Florida Regional Transportation Authority,267,greater than 200 peak vehicles
93,40036,City of Tallahassee,APR02,371980.0,48.0,147440.0,12498.0,2002-04-01,40036,"City of Tallahassee, dba: StarMetro",57,50-200 peak vehicles
94,40037,"Board of County Commissioners, Palm Beach County",APR02,556586.0,114.0,547943.0,34015.0,2002-04-01,40037,"Board of County Commissioners, Palm Beach County, dba: Palm Tran",119,50-200 peak vehicles
95,40038,"Escambia County Board of County Commissioners, FL",APR02,111532.0,34.0,121336.0,8107.0,2002-04-01,40038,"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",36,10-49 peak vehicles
96,40040,Jacksonville Transportation Authority,APR02,688700.0,135.0,817805.0,49048.0,2002-04-01,40040,Jacksonville Transportation Authority,171,50-200 peak vehicles
97,40041,Hillsborough Area Regional Transit Authority,APR02,688632.0,171.0,545306.0,44046.0,2002-04-01,40041,Hillsborough Area Regional Transit Authority,133,50-200 peak vehicles
98,40046,Sarasota County ,APR02,140093.0,29.0,138995.0,9090.0,2002-04-01,40046,"Sarasota County, dba: Sarasota County Area Transit",51,50-200 peak vehicles
99,40063,Brevard Board of County Commissioners,APR02,0.0,17.0,0.0,0.0,2002-04-01,40063,"Brevard Board of County Commissioners, dba: Space Coast Area Transit",39,10-49 peak vehicles
100,40074,Pasco County Board of County Commissioners,APR02,32253.0,14.0,55264.0,3063.0,2002-04-01,40074,"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",23,10-49 peak vehicles
101,40077,South Florida Regional Transportation Authority,APR02,0.0,0.0,0.0,0.0,2002-04-01,40077,"South Florida Regional Transportation Authority, dba: TRI-Rail",22,10-49 peak vehicles
102,40097,"Council on Aging of St. Lucie, Inc.",APR02,0.0,0.0,0.0,0.0,2002-04-01,40097,"Council on Aging of St. Lucie, Inc., dba: Community Transit",13,10-49 peak vehicles
103,40104,Indian River County,APR02,12750.0,8.0,19000.0,17000.0,2002-04-01,40104,Indian River County,15,10-49 peak vehicles
104,40120,"City of Ocala, Florida",APR02,17841.0,5.0,26793.0,1636.0,2002-04-01,40120,"City of Ocala, Florida, dba: SunTran",7,1-9 peak vehicles
